iter	Passed	Remaining
0	112	112473
1	114	57060
2	116	38744
3	118	29481
4	120	24001
5	125	20736
6	128	18214
7	130	16168
8	132	14578
9	134	13274
10	136	12231
11	140	11546
12	141	10754
13	143	10085
14	145	9563
15	147	9063
16	149	8641
17	151	8264
18	157	8112
19	159	7810
20	161	7513
21	163	7287
22	166	7070
23	172	6998
24	173	6760
25	174	6539
26	175	6338
27	177	6156
28	179	5994
29	180	5845
30	185	5797
31	187	5665
32	188	5534
33	190	5410
34	192	5297
35	194	5202
36	196	5107
37	202	5114
38	203	5026
39	206	4945
40	208	4869
41	210	4793
42	211	4711
43	215	4676
44	216	4598
45	218	4532
46	219	4460
47	221	4390
48	222	4325
49	224	4262
50	225	4199
51	227	4151
52	231	4138
53	233	4087
54	235	4037
55	237	3996
56	239	3958
57	241	3922
58	243	3877
59	246	3858
60	247	3808
61	248	3761
62	250	3722
63	252	3686
64	253	3651
65	255	3617
66	257	3579
67	258	3538
68	261	3525
69	262	3490
70	264	3466
71	266	3439
72	268	3414
73	270	3387
74	272	3362
75	277	3369
76	278	3341
77	280	3316
78	283	3306
79	285	3282
80	287	3258
81	289	3239
82	291	3217
83	293	3196
84	294	3174
85	296	3154
86	298	3137
87	300	3116
88	303	3101
89	304	3080
90	306	3065
91	308	3047
92	310	3030
93	312	3010
94	314	3000
95	317	2985
96	319	2977
97	323	2979
98	325	2966
99	328	2955
100	330	2939
101	331	2920
102	333	2901
103	334	2881
104	336	2870
105	338	2855
106	341	2846
107	343	2835
108	345	2822
109	346	2804
110	347	2786
111	349	2769
112	350	2752
113	357	2781
114	361	2782
115	364	2775
116	365	2759
117	367	2747
118	368	2730
119	370	2718
120	372	2704
121	374	2692
122	376	2688
123	378	2675
124	380	2662
125	382	2651
126	383	2635
127	385	2624
128	386	2611
129	388	2601
130	389	2586
131	391	2572
132	392	2558
133	393	2544
134	466	2987
135	474	3012
136	477	3006
137	484	3025
138	488	3028
139	491	3018
140	499	3043
141	502	3033
142	511	3064
143	517	3077
144	521	3074
145	524	3069
146	528	3067
147	531	3057
148	534	3052
149	542	3071
150	543	3058
151	546	3048
152	548	3038
153	551	3028
154	553	3017
155	559	3026
156	561	3014
157	563	3000
158	564	2988
159	566	2976
160	567	2959
161	570	2951
162	572	2938
163	573	2924
164	575	2914
165	578	2905
166	580	2894
167	582	2884
168	585	2877
169	588	2872
170	590	2862
171	592	2854
172	595	2844
173	597	2835
174	600	2831
175	603	2825
176	605	2817
177	608	2810
178	610	2801
179	613	2793
180	617	2792
181	618	2781
182	621	2772
183	623	2764
184	625	2756
185	628	2748
186	631	2744
187	633	2736
188	636	2731
189	638	2723
190	641	2717
191	645	2715
192	648	2712
193	651	2704
194	653	2695
195	654	2686
196	657	2678
197	665	2693
198	667	2685
199	670	2681
200	671	2671
201	673	2660
202	681	2677
203	683	2666
204	685	2657
205	686	2647
206	688	2637
207	695	2650
208	697	2640
209	699	2632
210	701	2623
211	703	2615
212	709	2620
213	711	2613
214	713	2604
215	714	2594
216	716	2585
217	717	2575
218	719	2565
219	720	2555
220	724	2555
221	726	2546
222	730	2543
223	733	2540
224	735	2534
225	739	2531
226	741	2526
227	745	2525
228	748	2518
229	752	2517
230	754	2512
231	756	2504
232	758	2496
233	759	2487
234	761	2479
235	764	2473
236	765	2465
237	768	2460
238	769	2451
239	772	2445
240	774	2439
241	776	2431
242	777	2423
243	779	2415
244	780	2406
245	783	2400
246	784	2392
247	786	2386
248	788	2378
249	790	2370
250	791	2362
251	793	2354
252	794	2345
253	795	2337
254	798	2332
255	799	2324
256	801	2316
257	802	2307
258	803	2300
259	805	2291
260	806	2284
261	808	2277
262	810	2270
263	812	2266
264	814	2259
265	817	2254
266	838	2302
267	873	2385
268	875	2378
269	878	2375
270	927	2494
271	930	2489
272	932	2482
273	936	2481
274	942	2483
275	945	2479
276	954	2490
277	955	2482
278	960	2481
279	962	2474
280	972	2489
281	976	2485
282	978	2478
283	988	2493
284	991	2487
285	994	2483
286	1006	2499
287	1009	2496
288	1016	2501
289	1020	2497
290	1022	2491
291	1029	2496
292	1032	2491
293	1034	2484
294	1038	2480
295	1040	2473
296	1041	2465
297	1046	2465
298	1048	2457
299	1049	2449
300	1051	2441
301	1052	2433
302	1056	2429
303	1060	2428
304	1062	2421
305	1064	2414
306	1066	2407
307	1068	2400
308	1069	2392
309	1072	2387
310	1098	2434
311	1102	2431
312	1110	2437
313	1114	2434
314	1118	2431
315	1120	2424
316	1127	2428
317	1129	2422
318	1131	2415
319	1133	2409
320	1135	2401
321	1142	2404
322	1144	2398
323	1146	2392
324	1148	2385
325	1150	2378
326	1156	2379
327	1157	2372
328	1159	2365
329	1162	2359
330	1165	2356
331	1173	2360
332	1176	2355
333	1177	2347
334	1180	2342
335	1182	2336
336	1196	2353
337	1198	2346
338	1204	2349
339	1206	2341
340	1209	2337
341	1211	2331
342	1213	2325
343	1219	2325
344	1221	2319
345	1222	2311
346	1224	2304
347	1226	2297
348	1228	2291
349	1233	2290
350	1234	2282
351	1236	2276
352	1239	2271
353	1241	2265
354	1251	2274
355	1253	2267
356	1255	2261
357	1258	2256
358	1269	2266
359	1271	2260
360	1273	2254
361	1275	2248
362	1285	2255
363	1286	2248
364	1288	2241
365	1289	2234
366	1291	2226
367	1298	2229
368	1300	2223
369	1302	2217
370	1304	2210
371	1305	2204
372	1307	2198
373	1312	2197
374	1315	2192
375	1317	2186
376	1319	2180
377	1325	2181
378	1328	2176
379	1329	2169
380	1331	2163
381	1333	2157
382	1335	2151
383	1337	2146
384	1339	2140
385	1341	2133
386	1343	2127
387	1348	2126
388	1350	2121
389	1352	2115
390	1354	2109
391	1356	2103
392	1357	2096
393	1360	2092
394	1363	2088
395	1365	2082
396	1366	2076
397	1368	2070
398	1370	2064
399	1372	2058
400	1373	2051
401	1380	2052
402	1381	2046
403	1382	2040
404	1384	2034
405	1386	2028
406	1387	2021
407	1394	2023
408	1396	2017
409	1398	2011
410	1399	2005
411	1401	1999
412	1403	1994
413	1409	1994
414	1410	1988
415	1411	1982
416	1413	1975
417	1414	1969
418	1416	1963
419	1417	1957
420	1421	1954
421	1423	1949
422	1424	1943
423	1426	1937
424	1427	1931
425	1429	1926
426	1432	1921
427	1437	1920
428	1438	1915
429	1440	1910
430	1442	1904
431	1444	1899
432	1446	1894
433	1454	1897
434	1456	1891
435	1458	1886
436	1460	1881
437	1461	1875
438	1463	1870
439	1465	1865
440	1467	1859
441	1468	1853
442	1470	1848
443	1472	1843
444	1478	1843
445	1480	1839
446	1483	1834
447	1485	1829
448	1487	1825
449	1495	1827
450	1498	1823
451	1501	1820
452	1503	1815
453	1508	1814
454	1510	1809
455	1512	1803
456	1513	1798
457	1515	1793
458	1522	1794
459	1525	1790
460	1527	1785
461	1528	1780
462	1530	1775
463	1539	1778
464	1541	1773
465	1544	1769
466	1546	1765
467	1549	1761
468	1554	1759
469	1557	1756
470	1559	1751
471	1574	1760
472	1576	1755
473	1577	1750
474	1582	1749
475	1583	1743
476	1585	1738
477	1586	1733
478	1588	1727
479	1589	1722
480	1592	1718
481	1593	1712
482	1595	1707
483	1596	1702
484	1598	1696
485	1600	1692
486	1601	1687
487	1603	1682
488	1604	1676
489	1606	1671
490	1618	1677
491	1620	1673
492	1623	1669
493	1632	1671
494	1634	1667
495	1636	1662
496	1637	1657
497	1644	1657
498	1647	1653
499	1648	1648
500	1650	1644
501	1652	1639
502	1654	1634
503	1661	1634
504	1662	1629
505	1663	1624
506	1665	1619
507	1667	1614
508	1669	1610
509	1677	1612
510	1679	1607
511	1681	1603
512	1684	1598
513	1686	1594
514	1688	1589
515	1689	1584
516	1691	1579
517	1693	1575
518	1695	1571
519	1702	1571
520	1704	1566
521	1705	1561
522	1707	1557
523	1709	1552
524	1711	1548
525	1718	1548
526	1720	1544
527	1722	1540
528	1724	1535
529	1726	1531
530	1734	1531
531	1736	1527
532	1738	1523
533	1740	1519
534	1743	1514
535	1750	1515
536	1752	1511
537	1754	1506
538	1755	1501
539	1757	1497
540	1764	1496
541	1765	1491
542	1767	1487
543	1769	1483
544	1771	1478
545	1772	1473
546	1780	1474
547	1782	1470
548	1783	1465
549	1785	1460
550	1787	1456
551	1788	1451
552	1798	1453
553	1800	1449
554	1801	1444
555	1803	1440
556	1804	1435
557	1811	1434
558	1812	1429
559	1814	1425
560	1815	1420
561	1816	1415
562	1817	1411
563	1819	1406
564	1822	1403
565	1824	1399
566	1825	1394
567	1827	1389
568	1828	1384
569	1829	1380
570	1835	1378
571	1837	1374
572	1838	1370
573	1840	1365
574	1841	1361
575	1844	1357
576	1869	1370
577	1873	1368
578	1875	1363
579	1885	1365
580	1887	1361
581	1889	1357
582	1903	1361
583	1905	1357
584	1908	1353
585	1918	1355
586	1921	1351
587	1925	1349
588	1928	1345
589	1938	1346
590	1948	1348
591	1954	1347
592	1971	1352
593	1980	1353
594	1984	1350
595	1986	1346
596	1996	1347
597	1998	1343
598	2001	1339
599	2003	1335
600	2010	1334
601	2013	1331
602	2015	1327
603	2017	1322
604	2019	1318
605	2021	1314
606	2023	1310
607	2025	1305
608	2026	1301
609	2033	1300
610	2035	1295
611	2037	1291
612	2039	1287
613	2042	1283
614	2050	1283
615	2052	1279
616	2053	1274
617	2055	1270
618	2058	1266
619	2066	1266
620	2068	1262
621	2070	1258
622	2072	1254
623	2073	1249
624	2075	1245
625	2077	1240
626	2078	1236
627	2080	1232
628	2082	1228
629	2084	1224
630	2085	1219
631	2095	1220
632	2097	1216
633	2099	1212
634	2101	1208
635	2103	1204
636	2105	1199
637	2107	1195
638	2109	1191
639	2111	1187
640	2119	1187
641	2121	1183
642	2123	1179
643	2126	1175
644	2134	1174
645	2136	1170
646	2139	1167
647	2141	1163
648	2147	1161
649	2148	1157
650	2150	1152
651	2152	1149
652	2155	1145
653	2157	1141
654	2158	1137
655	2161	1133
656	2163	1129
657	2165	1125
658	2168	1121
659	2169	1117
660	2175	1115
661	2177	1111
662	2178	1107
663	2180	1103
664	2182	1099
665	2184	1095
666	2190	1093
667	2192	1089
668	2195	1086
669	2197	1082
670	2205	1081
671	2208	1078
672	2210	1074
673	2212	1070
674	2215	1066
675	2222	1065
676	2224	1061
677	2227	1057
678	2230	1054
679	2237	1053
680	2240	1049
681	2242	1045
682	2244	1041
683	2246	1037
684	2252	1035
685	2254	1031
686	2256	1028
687	2259	1024
688	2261	1020
689	2267	1018
690	2269	1015
691	2272	1011
692	2275	1007
693	2277	1004
694	2280	1000
695	2282	997
696	2285	993
697	2287	989
698	2294	987
699	2295	983
700	2298	980
701	2300	976
702	2303	972
703	2310	971
704	2312	967
705	2314	963
706	2316	960
707	2319	956
708	2325	954
709	2327	950
710	2329	947
711	2332	943
712	2335	940
713	2337	936
714	2339	932
715	2341	928
716	2343	924
717	2346	921
718	2353	919
719	2355	916
720	2358	912
721	2360	908
722	2368	907
723	2370	903
724	2373	900
725	2375	896
726	2377	892
727	2383	890
728	2385	886
729	2387	882
730	2389	879
731	2391	875
732	2393	871
733	2395	867
734	2397	864
735	2399	860
736	2401	856
737	2403	853
738	2405	849
739	2411	847
740	2412	843
741	2415	839
742	2417	836
743	2419	832
744	2420	828
745	2426	826
746	2428	822
747	2430	818
748	2432	815
749	2435	811
750	2443	810
751	2445	806
752	2447	802
753	2449	799
754	2450	795
755	2455	792
756	2458	789
757	2460	785
758	2461	781
759	2463	777
760	2464	773
761	2465	770
762	2466	766
763	2474	764
764	2475	760
765	2477	756
766	2478	752
767	2480	749
768	2482	745
769	2485	742
770	2487	738
771	2489	735
772	2492	731
773	2493	728
774	2496	724
775	2498	721
776	2500	717
777	2502	714
778	2508	711
779	2510	708
780	2512	704
781	2514	700
782	2519	698
783	2521	694
784	2523	691
785	2525	687
786	2526	683
787	2528	680
788	2531	676
789	2539	674
790	2541	671
791	2543	667
792	2545	664
793	2553	662
794	2554	658
795	2557	655
796	2560	652
797	2570	650
798	2571	646
799	2573	643
800	2575	639
801	2577	636
802	2586	634
803	2588	630
804	2590	627
805	2591	623
806	2593	620
807	2597	617
808	2599	613
809	2600	610
810	2602	606
811	2604	603
812	2606	599
813	2607	595
814	2613	593
815	2614	589
816	2615	585
817	2620	583
818	2622	579
819	2628	577
820	2631	573
821	2639	571
822	2646	569
823	2650	566
824	2651	562
825	2662	560
826	2667	557
827	2669	554
828	2680	552
829	2683	549
830	2686	546
831	2692	543
832	2697	540
833	2699	537
834	2701	533
835	2711	532
836	2721	529
837	2723	526
838	2726	523
839	2728	519
840	2739	517
841	2742	514
842	2743	510
843	2745	507
844	2752	504
845	2754	501
846	2756	497
847	2758	494
848	2760	491
849	2763	487
850	2765	484
851	2768	480
852	2779	479
853	2781	475
854	2783	472
855	2785	468
856	2792	465
857	2795	462
858	2798	459
859	2800	455
860	2811	453
861	2813	450
862	2815	446
863	2826	444
864	2828	441
865	2829	437
866	2832	434
867	2840	431
868	2842	428
869	2844	424
870	2845	421
871	2847	417
872	2856	415
873	2859	412
874	2861	408
875	2863	405
876	2873	402
877	2875	399
878	2877	396
879	2879	392
880	2892	390
881	2895	387
882	2906	385
883	2907	381
884	2909	378
885	2919	375
886	2921	372
887	2923	368
888	2925	365
889	2933	362
890	2935	359
891	2937	355
892	2940	352
893	2956	350
894	2966	348
895	2969	344
896	2971	341
897	2973	337
898	2987	335
899	2988	332
900	3002	329
901	3007	326
902	3032	325
